title,event_url,image_url,status,production_type,date_time,origin,market_presence,age_of_production
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,26 July 2025 - 8:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,28 July 2025 - 7:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,29 July 2025 - 7:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,30 July 2025 - 7:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,31 July 2025 - 7:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,1 August 2025 - 7:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,2 August 2025 - 5:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,2 August 2025 - 8:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,4 August 2025 - 7:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,5 August 2025 - 7:00 pm,N/A,N/A,N/A
Morgan Bassichis: Can I Be Frank?,https://ci.ovationtix.com/35583/production/1243249,https://web.ovationtix.com/trs/api/rest/ClientFile(575874),upcoming,N/A,6 August 2025 - 7:00 pm,N/A,N/A,N/A
